pattern_original,groupe_code,classe,option,LM1,LM2,LM3
[2 - N]<2PAD> <LM1> N+ <2PAD> <LM1> NI,2 - N,2PAD,,,,
[6 - Labo]<6PAU> <Option+LM1+LM2(+LM3)> MB4-A-N+ [6 - Labo]<6PAV> <Option+LM1+LM,6 - Labo,6PAU,,,,
[6 - Labo]<6PAU> <Option+LM1+LM2(+LM3)> MB4-A-N+ [6 - Labo]<6PAV> <Option+LM1+LM,6 - Labo,6PAV,,,,
[6 - Labo]<6PAU> <Option+LM1+LM2(+LM3)> MB4-A-N+ [6 - Labo]<6PAV> <Option+LM1+LM,6 - Labo,6PAW,,,,
[6 - Labo]<6PAU> <Option+LM1+LM2(+LM3)> MB4-A-N+ [6 - Labo]<6PAV> <Option+LM1+LM,6 - Labo,6PAY,,,,
[6 - Labo]<6PAU> <Option+LM1+LM2(+LM3)> MB4-A-N+ [6 - Labo]<6PAV> <Option+LM1+LM,6 - Labo,6PAY,,,,
[3+4 - LM1 - DI]<3PAY> <LM1> DI+ [3+4 - LM1 - DI]<3PAV> <LM1> DI+ [3+4 - LM1 - D,3+4 - LM1 - DI,3PAY,,,,
[3+4 - LM1 - DI]<3PAY> <LM1> DI+ [3+4 - LM1 - DI]<3PAV> <LM1> DI+ [3+4 - LM1 - D,3+4 - LM1 - DI,3PAV,,,,
[3+4 - LM1 - DI]<3PAY> <LM1> DI+ [3+4 - LM1 - DI]<3PAV> <LM1> DI+ [3+4 - LM1 - D,3+4 - LM1 - DI,4PAV,,,,
[3 - SC4]<3PAX> <Option> SO+ [3 - SC4]<3PAY> <Option> SO,3 - SC4,3PAX,,,,
[3 - SC4]<3PAX> <Option> SO+ [3 - SC4]<3PAY> <Option> SO,3 - SC4,3PAY,,,,
[5+6 - LM3 - E]<5PAT> <Option+LM1+LM2(+LM3)> ML4-NI-A-E+ [5+6 - LM3 - E]<5PAU> <,5+6 - LM3 - E,5PAT,,,,
[5+6 - LM3 - E]<5PAT> <Option+LM1+LM2(+LM3)> ML4-NI-A-E+ [5+6 - LM3 - E]<5PAU> <,5+6 - LM3 - E,5PAU,,,,
[5+6 - LM3 - E]<5PAT> <Option+LM1+LM2(+LM3)> ML4-NI-A-E+ [5+6 - LM3 - E]<5PAU> <,5+6 - LM3 - E,5PAU,,,,
[5+6 - LM3 - E]<5PAT> <Option+LM1+LM2(+LM3)> ML4-NI-A-E+ [5+6 - LM3 - E]<5PAU> <,5+6 - LM3 - E,5PAW,,,,
[5+6 - LM3 - E]<5PAT> <Option+LM1+LM2(+LM3)> ML4-NI-A-E+ [5+6 - LM3 - E]<5PAU> <,5+6 - LM3 - E,5PAZ,,,,
[5+6 - LM3 - E]<5PAT> <Option+LM1+LM2(+LM3)> ML4-NI-A-E+ [5+6 - LM3 - E]<5PAU> <,5+6 - LM3 - E,5PAZ,,,,
[5+6 - LM3 - E]<5PAT> <Option+LM1+LM2(+LM3)> ML4-NI-A-E+ [5+6 - LM3 - E]<5PAU> <,5+6 - LM3 - E,6PAU,,,,
[5+6 - LM3 - E]<5PAT> <Option+LM1+LM2(+LM3)> ML4-NI-A-E+ [5+6 - LM3 - E]<5PAU> <,5+6 - LM3 - E,6PAV,,,,
[5+6 - LM3 - E]<5PAT> <Option+LM1+LM2(+LM3)> ML4-NI-A-E+ [5+6 - LM3 - E]<5PAU> <,5+6 - LM3 - E,6PAW,,,,
[5+6 - LM3 - E]<5PAT> <Option+LM1+LM2(+LM3)> ML4-NI-A-E+ [5+6 - LM3 - E]<5PAU> <,5+6 - LM3 - E,6PAW,,,,
[5+6 - LM3 - E]<5PAT> <Option+LM1+LM2(+LM3)> ML4-NI-A-E+ [5+6 - LM3 - E]<5PAU> <,5+6 - LM3 - E,6PAY,,,,
[5+6 - LM3 - E]<5PAT> <Option+LM1+LM2(+LM3)> ML4-NI-A-E+ [5+6 - LM3 - E]<5PAU> <,5+6 - LM3 - E,6PAY,,,,
[5+6 - LM3 - E]<5PAT> <Option+LM1+LM2(+LM3)> ML4-NI-A-E+ [5+6 - LM3 - E]<5PAU> <,5+6 - LM3 - E,6PAZ,,,,
[5+6 - LM3 - E]<5PAT> <Option+LM1+LM2(+LM3)> ML4-NI-A-E+ [5+6 - LM3 - E]<5PAU> <,5+6 - LM3 - E,5PAZ,,,,
[5+6 - LM3 - E]<5PAT> <Option+LM1+LM2(+LM3)> ML4-NI-A-E+ [5+6 - LM3 - E]<5PAU> <,5+6 - LM3 - E,5PAU,,,,
[5+6 - LM3 - E]<5PAT> <Option+LM1+LM2(+LM3)> ML4-NI-A-E+ [5+6 - LM3 - E]<5PAU> <,5+6 - LM3 - E,5PAT,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Optio,5 - LM2 - E4,5PAY,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Optio,5 - LM2 - E4,5PAY,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Optio,5 - LM2 - E4,5PAY,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Optio,5 - LM2 - E4,5PAZ,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Optio,5 - LM2 - E4,5PAZ,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Optio,5 - LM2 - E4,5PAZ,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Optio,5 - LM2 - E4,5PAZ,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Optio,5 - LM2 - E4,5PAZ,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Optio,5 - LM2 - E4,5PAZ,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Optio,5 - LM2 - E4,5PAZ,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Optio,5 - LM2 - E4,5PAZ,,,,
